1,2,3,4;4,5,6
20,21,22;45,46,47
7,8,9;8,9,10,11,12
59,60,61,62,63,64,65,66;63,64,65,66,67,68,69
9,10,11;11,12,13
72,73,74,75,76,77;71,72,73,74,75,76
92,93,94,95,96,97,98;78,79,80,81,82,83,84,85,86,87,88,89
92,93,94,95,96;97,98,99,100,101
79,80,81,82,83,84,85,86;54,55,56,57,58,59,60
93,94,95,96,97,98,99,100,101,102,103,104,105,106,107;71,72,73,74,75,76,77,78
20,25,36,45,89;25,36,77,88,98
70,71,72,73,74,75,76,77,78,79,80;87,88,89,90,91,92
70,71,72,73,74,75,76,77,78,79,80,81,82,83;66,67,68,69,70
61,62,63,64,65,66;80,81,82,83,84,85,86,87,88,89,90,91,92
78,79,80,81,82,83,84,85,86,87;62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
63,64,65,66,67,68,69,70,71,72,73,74,75,76,77;75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
59,60,61,62,63,64,65,66,67,68,69;59,60,61,62,63
66,67,68,69,70,71,72,73,74;63,64,65,66,67
55,56,57,58,59,60;90,91,92,93,94,95,96,97,98,99,100,101,102
64,65,66,67,68,69,70,71,72,73,74;77,78,79,80,81,82
57,58,59,60,61,62,63,64,65,66,67,68,69;87,88,89,90,91,92,93,94,95,96,97,98
80,81,82,83,84,85,86,87,88,89;80,81,82,83,84
15,16,17;15,16,17
1,2,3,4,5,6,7,8;10,15,16,23
